CHEMBLID,FpDensityMorgan1,HeavyAtomMolWt,MaxAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Chi0n,Chi1v,Chi2v,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumHBA,NumHBD,NumHeteroatoms,NumLipinskiHBA,NumRings,NumSaturatedHeterocycles,BertzCT,Halogen bond donor,"('[#6]~[#16]~[#7]', 0)","('[#16R]', 0)","('[#7]~[#6](~[#8])~[#7]', 0)","('[#7]~[#6](~[#6])~[#7]', 0)","('F', 0)","('[!#6;!#1;!H0]~*~[!#6;!#1;!H0]', 0)","('Br', 0)","('[#16]~*~[#7]', 0)","('[#7]~[#7]', 0)","('[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]', 0)","('[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]', 0)","('[#8]~[#16]~[#8]', 0)","('[#8R]', 0)","('*@*!@*@*', 0)","('*@*!@[#16]', 0)","('c:n', 0)","('[#6]~[#6](~[#6])(~[#6])~*', 0)","('[!#6;!#1]~[!#6;!#1;!H0]', 0)","('[#7]~[#8]', 0)","('[#8]~*~*~[#8]', 0)","('*!@[#7]@*', 0)","('[#7]~*~[#7]', 0)","('[#7]~*~*~[#7]', 0)","('[#7]~*~*~*~[#7]', 0)","('[!#6;!#1]1~*~*~*~*~1', 0)","('[#6]~[#7](~[#6])~[#6]', 0)","('[F,Cl,Br,I]!@*@*', 0)","('[#8]~*~*~*~[#8]', 0)","('[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]', 0)","('[$([!#6;!#1;!H0]~*~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~*~[R]1@[R]@[CH2;R]1)]', 0)","('[#8]~[#6](~[#7])~[#6]', 0)","('[!#6;!#1]~[CH3]', 0)","('*~[CH2]~[#7]', 0)","('[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]', 0)","('[#7]~*~[CH2]~*', 0)","('[CH3]~[CH2]~*', 0)","('[CH3]~*~[CH2]~*', 0)","('[!#6;R]', 1)","('[#7;R]', 0)","('*!@[#8]!@*', 0)","('[#8]~*~[CH2]~*', 0)","('[O;!H0]', 0)","('[CH3]', 2)","('*1~*~*~*~*~*~1', 1)","('[#8]', 2)","('[C;H3,H4]', 1)","('[#8]~[#6](~[#6])~[#6]', 0)","('[!#6;!#1]~[CH2]~*', 0)","('[C;H3,H4]', 0)"
CHEMBL173889,1.1304347826086956,337.6990000000001,0.32537478574375495,-0.32537478574375495,349.7950000000001,118.0,11.822465129221724,8.83790887334697,7.633099978417443,0.125,-2.1799999999999997,15.705680027590848,5.7900905386560115,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,7.0,5.0,3.0,0.0,907.8011843265565,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CHEMBL366878,1.125,396.1570000000002,0.32510719843689817,-0.32510719843689817,409.26100000000014,124.0,12.562571943535135,9.23588706099671,8.131111836900054,0.125,-2.1899999999999986,16.66023163039469,6.027113866436465,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,8.0,6.0,3.0,0.0,925.3485265339729,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
CHEMBL173246,1.4,366.3150000000001,0.496742146535387,-0.496742146535387,381.43500000000006,132.0,13.638916570195088,9.446738038993491,8.616139477233121,0.26666666666666666,-2.2999999999999994,17.520698585454607,6.208382909680908,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,10.0,8.0,3.0,0.0,967.2964909801478,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHEMBL368468,1.0,280.198,0.493795348146419,-0.493795348146419,294.3100000000001,110.0,11.907076194634278,6.764316150926343,4.92850968753249,0.058823529411764705,-3.0799999999999987,13.882694997605373,5.366112238903888,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,4.0,2.0,5.0,5.0,3.0,0.0,914.3305227650267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
CHEMBL172077,1.1363636363636365,321.7000000000001,0.36929690086873523,-0.36929690086873523,333.79600000000005,112.0,11.323425631797035,8.113491839395259,6.45989083873996,0.0625,-1.9499999999999995,14.965359341015319,6.042175350040524,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,6.0,4.0,3.0,0.0,803.4828574088779,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
CHEMBL17956,1.206896551724138,409.7690000000001,0.4937807666172631,-0.4937807666172631,425.8970000000001,146.0,15.347609334793873,9.95973971755684,8.166805586093547,0.09523809523809523,-3.1599999999999984,19.169252598390667,7.692458630511029,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,6.0,2.0,8.0,6.0,4.0,0.0,1281.8161884214326,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CHEMBL174713,1.2142857142857142,403.74200000000013,0.339995981765793,-0.339995981765793,418.86200000000014,144.0,14.879648865345427,10.070994632419863,8.761267142033319,0.16666666666666666,-2.75,18.605783538256716,6.40207106010195,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,10.0,8.0,4.0,0.0,1237.4541293384355,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
CHEMBL174494,1.1363636363636365,341.1540000000001,0.32537764827227705,-0.32537764827227705,352.2420000000001,112.0,11.306582752113599,8.315539185383772,6.802626777211264,0.125,-1.4900000000000002,15.40739473112399,6.324645206297169,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,6.0,3.0,3.0,0.0,763.5610677566152,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
CHEMBL173012,1.4166666666666667,357.30300000000005,0.3001488811891509,-0.3001488811891509,369.39900000000006,126.0,12.608632752740453,9.02334783980231,8.394530961841667,0.21428571428571427,-2.17,16.679544674836038,5.7235043308024975,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,10.0,7.0,3.0,0.0,954.6792029778368,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
CHEMBL177412,1.0769230769230769,422.6120000000001,0.32377265546305295,-0.32377265546305295,433.7000000000002,136.0,13.163800351174338,9.788080016809602,8.676306824692132,0.125,-1.7999999999999985,18.975304469436516,6.735960033933453,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,10.0,6.0,3.0,0.0,1039.7855307075029,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
